iter	RMSE
0	75450.5068311	71869.8230422	68668.8302933	65485.8824844	62450.9050655	59612.6881666	56847.5620677	54207.1008588	51767.8526
9	49484.49546
10	47220.49822
11	45036.09593
12	42977.07125
13	41004.26043
14	39183.28513
15	37465.3561
16	35802.77878
17	34232.64073
18	32732.12968
19	31320.66609
20	29977.61512
21	28698.46985
22	27452.61704
23	26353.64514
24	25243.04967
25	24180.10708
26	23171.95292
27	22215.57548
28	21282.96152
29	20451.97222
30	19651.51521
31	18864.88902
32	18146.01255
33	17456.42028
34	16772.40898
35	16147.40799
36	15589.99537
37	15031.75835
38	14497.90042
39	14002.11048
40	13538.10012
41	13093.63183
42	12705.61554
43	12320.41407
44	11942.59529
45	11587.65754
46	11268.40614
47	10958.66281
48	10672.60911
49	10401.43214
50	10150.1717
51	9903.147431
52	9695.992047
53	9501.275726
54	9306.149101
55	9126.852474
56	8948.854731
57	8793.615737
58	8641.66953
59	8515.261263
60	8393.705874
61	8270.650622
62	8161.030446
63	8060.917675
64	7969.281616
65	7878.754077
66	7810.196415
67	7731.573379
68	7663.71541
69	7594.979529
70	7532.571376
71	7475.432643
72	7419.240031
73	7370.616641
74	7324.011038
75	7281.340681
76	7244.255403
77	7210.053201
78	7173.731626
79	7141.808039
80	7109.575691
81	7078.236093
82	7051.222178
83	7019.313602
84	6995.339199
85	6973.074485
86	6951.646165
87	6929.243657
88	6908.019504
89	6889.055682
90	6868.202138
91	6846.015396
92	6824.867472
93	6805.016067
94	6788.624533
95	6774.207873
96	6756.829185
97	6740.275096
98	6723.43528
99	6710.586262
100	6696.516477
101	6681.654552
102	6663.186171
103	6649.093234
104	6638.716732
105	6631.429415
106	6621.875373
107	6613.473177
108	6605.368561
109	6593.501715
110	6582.269888
111	6571.418362
112	6559.469177
113	6550.798226
114	6541.833714
115	6532.749907
116	6526.333629
117	6517.061767
118	6507.766734
119	6500.024405
120	6488.366677
121	6480.284103
122	6475.368939
123	6468.623362
124	6462.952345
125	6459.779875
126	6454.83495
