iter	Passed	Remaining
0	82	41276
1	95	23851
2	109	18067
3	118	14700
4	125	12376
5	130	10717
6	135	9533
7	139	8590
8	144	7876
9	149	7323
10	154	6848
11	158	6448
12	163	6120
13	167	5822
14	172	5562
15	176	5340
16	181	5165
17	187	5013
18	193	4886
19	198	4773
20	204	4653
21	209	4541
22	214	4447
23	219	4354
24	225	4277
25	230	4201
26	234	4115
27	240	4047
28	244	3976
29	249	3908
30	254	3843
31	258	3785
32	263	3735
33	268	3684
34	274	3642
35	279	3601
36	284	3554
37	288	3511
38	294	3479
39	299	3447
40	304	3409
41	309	3372
42	314	3343
43	319	3306
44	324	3281
45	329	3250
46	334	3219
47	339	3192
48	343	3161
49	348	3136
50	353	3111
51	357	3082
52	362	3055
53	367	3032
54	371	3008
55	376	2985
56	381	2967
57	386	2946
58	391	2924
59	396	2906
60	402	2893
61	407	2877
62	412	2863
63	417	2843
64	422	2826
65	426	2807
66	432	2795
67	437	2781
68	443	2772
69	449	2759
70	454	2748
71	460	2738
72	465	2724
73	471	2711
74	476	2698
75	481	2688
76	487	2679
77	494	2672
78	500	2665
79	506	2658
80	512	2649
81	517	2638
82	523	2629
83	528	2619
84	533	2605
85	538	2593
86	543	2581
87	548	2568
88	553	2556
89	558	2543
90	563	2531
91	568	2520
92	573	2510
93	578	2498
94	583	2488
95	588	2476
96	593	2467
97	598	2455
98	603	2444
99	609	2438
100	614	2429
101	619	2417
102	624	2408
103	630	2401
104	635	2390
105	640	2381
106	645	2370
107	650	2360
108	655	2351
109	660	2341
110	665	2330
111	669	2321
112	674	2310
113	680	2303
114	684	2292
115	689	2283
116	694	2273
117	699	2264
118	704	2255
119	710	2248
120	714	2238
121	719	2230
122	724	2220
123	729	2211
124	734	2204
125	739	2195
126	744	2186
127	749	2178
128	754	2170
129	759	2161
130	764	2153
131	769	2145
132	774	2135
133	778	2127
134	783	2119
135	789	2111
136	794	2103
137	799	2096
138	803	2087
139	808	2078
140	813	2071
141	818	2064
142	823	2056
143	828	2048
144	833	2041
145	838	2032
146	843	2025
147	848	2017
148	853	2010
149	857	2001
150	862	1994
151	867	1986
152	872	1979
153	878	1972
154	883	1967
155	889	1960
156	894	1953
157	898	1944
158	902	1936
159	907	1929
160	912	1922
161	917	1915
162	922	1906
163	927	1900
164	931	1891
165	937	1885
166	942	1879
167	947	1873
168	952	1866
169	957	1858
170	962	1852
171	967	1845
172	972	1837
173	977	1831
174	982	1824
175	987	1817
176	991	1810
177	998	1805
178	1010	1812
179	1021	1815
180	1030	1816
181	1035	1810
182	1046	1812
183	1051	1806
184	1057	1801
185	1063	1796
186	1069	1789
187	1073	1782
188	1079	1775
189	1084	1768
190	1088	1761
191	1093	1753
192	1098	1746
193	1102	1739
194	1107	1732
195	1112	1726
196	1117	1718
197	1122	1711
198	1127	1705
199	1132	1698
200	1137	1692
201	1142	1686
202	1147	1678
203	1152	1672
204	1157	1665
205	1162	1658
206	1168	1653
207	1173	1647
208	1178	1641
209	1183	1634
210	1188	1628
211	1194	1622
212	1199	1616
213	1203	1608
214	1208	1602
215	1213	1594
216	1216	1587
217	1221	1580
218	1226	1573
219	1230	1566
220	1235	1559
221	1240	1552
222	1244	1546
223	1248	1538
224	1252	1530
225	1257	1524
226	1262	1518
227	1267	1511
228	1272	1505
229	1277	1499
230	1281	1492
231	1286	1486
232	1291	1480
233	1297	1474
234	1302	1468
235	1306	1462
236	1311	1455
237	1317	1449
238	1322	1443
239	1327	1437
240	1331	1431
241	1336	1424
242	1341	1418
243	1346	1412
244	1351	1406
245	1355	1400
246	1361	1394
247	1366	1388
248	1372	1383
249	1377	1377
250	1382	1371
251	1386	1364
252	1392	1359
253	1397	1353
254	1402	1347
255	1407	1341
256	1412	1335
257	1417	1329
258	1422	1323
259	1426	1317
260	1431	1310
261	1436	1304
262	1440	1298
263	1446	1292
264	1450	1286
265	1455	1280
266	1459	1273
267	1465	1268
268	1469	1262
269	1474	1256
270	1479	1250
271	1483	1243
272	1488	1237
273	1492	1231
274	1497	1225
275	1503	1219
276	1507	1213
277	1512	1208
278	1517	1202
279	1522	1196
280	1528	1190
